epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.976,1.78552,2.34843,1.04684,0.27391,0.15361,0.11546,0.06479,1.66905,1.53812,0.98232,0.000237193,0.000237193,0.000237193
2,244.882,1.65413,1.53288,0.99841,0.33397,0.18661,0.1529,0.08837,1.58728,1.37724,0.96945,0.000465784,0.000465784,0.000465784
3,363.607,1.62293,1.42581,0.98937,0.35448,0.1902,0.16689,0.09544,1.52565,1.35568,0.97084,0.000684951,0.000684951,0.000684951
4,483.068,1.59832,1.36707,0.98244,0.34788,0.23622,0.1804,0.10223,1.56098,1.35607,0.96355,0.000671588,0.000671588,0.000671588
5,600.765,1.57931,1.31601,0.97392,0.26994,0.21699,0.1964,0.11481,1.52203,1.26596,0.95723,0.000657451,0.000657451,0.000657451
6,718.596,1.54592,1.26796,0.97149,0.32381,0.2329,0.22302,0.12885,1.49809,1.21206,0.95055,0.000643314,0.000643314,0.000643314
7,836.444,1.53467,1.2395,0.96308,0.32013,0.24484,0.22267,0.12937,1.47669,1.17866,0.95179,0.000629177,0.000629177,0.000629177
8,954.213,1.52504,1.21175,0.96036,0.32475,0.25668,0.23895,0.13738,1.4712,1.16852,0.94197,0.00061504,0.00061504,0.00061504
9,1071.92,1.51785,1.20067,0.95744,0.33179,0.24319,0.23051,0.13288,1.4795,1.17871,0.94825,0.000600902,0.000600902,0.000600902
10,1189.43,1.4986,1.17679,0.95525,0.32542,0.25689,0.24124,0.13994,1.45913,1.16228,0.94109,0.000586765,0.000586765,0.000586765
11,1307.33,1.49762,1.16359,0.95418,0.33588,0.26029,0.24288,0.13903,1.46184,1.17192,0.94667,0.000572628,0.000572628,0.000572628
12,1425.02,1.48352,1.14369,0.95161,0.33693,0.2654,0.24046,0.13918,1.46258,1.15748,0.94067,0.000558491,0.000558491,0.000558491
13,1543.04,1.48505,1.13459,0.94985,0.35325,0.26957,0.25209,0.14652,1.44115,1.13039,0.93552,0.000544354,0.000544354,0.000544354
14,1660.65,1.46883,1.13183,0.94544,0.36368,0.26861,0.25842,0.15292,1.43483,1.11706,0.93421,0.000530216,0.000530216,0.000530216
15,1778.21,1.46224,1.11793,0.94521,0.35697,0.27362,0.26027,0.15228,1.41952,1.09957,0.93587,0.000516079,0.000516079,0.000516079
16,1896.83,1.46349,1.10581,0.94297,0.35099,0.26595,0.25822,0.15084,1.41399,1.1112,0.9319,0.000501942,0.000501942,0.000501942
17,2015.01,1.45416,1.09517,0.94239,0.35577,0.27189,0.25886,0.15088,1.42374,1.09794,0.93241,0.000487805,0.000487805,0.000487805
18,2132.45,1.44607,1.0924,0.9418,0.36239,0.2787,0.26401,0.15475,1.42213,1.09563,0.93004,0.000473668,0.000473668,0.000473668
19,2249.93,1.43052,1.07488,0.9379,0.36181,0.27025,0.26032,0.15353,1.39957,1.10329,0.92815,0.00045953,0.00045953,0.00045953
20,2367.4,1.4312,1.06657,0.93626,0.38962,0.27343,0.26446,0.15329,1.42249,1.08635,0.93025,0.000445393,0.000445393,0.000445393
21,2484.96,1.43263,1.06443,0.93592,0.37036,0.27959,0.26903,0.15672,1.4204,1.06783,0.93007,0.000431256,0.000431256,0.000431256
22,2602.49,1.41765,1.0487,0.93488,0.35986,0.2796,0.27001,0.15859,1.40327,1.06785,0.92445,0.000417119,0.000417119,0.000417119
23,2720.15,1.42914,1.05259,0.93274,0.36764,0.27322,0.26449,0.15709,1.3954,1.08157,0.92634,0.000402982,0.000402982,0.000402982
24,2837.65,1.4106,1.04153,0.93056,0.36149,0.28664,0.27367,0.16029,1.40115,1.059,0.92516,0.000388844,0.000388844,0.000388844
25,2954.94,1.40641,1.03955,0.93174,0.36054,0.29161,0.27405,0.16034,1.39449,1.05781,0.92738,0.000374707,0.000374707,0.000374707
26,3072.49,1.40699,1.03152,0.93115,0.37432,0.28929,0.27964,0.16446,1.38073,1.0449,0.92332,0.00036057,0.00036057,0.00036057
27,3189.84,1.40516,1.02742,0.92865,0.38512,0.27771,0.27612,0.16061,1.38552,1.05735,0.92434,0.000346433,0.000346433,0.000346433
